FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
01001,AL,Autauga,18428.4396853647,33.7696573003329,5344.42747247314,9.7935303961319,4822.5002687735,8.83711177873504,2388.23322829447,4.37637798151852,664.216487208815,3.2847855556541
01003,AL,Baldwin,35210.8140777756,19.318472596371,9952.14402697035,5.46026062434935,7916.13193162258,4.34319915048011,6404.00860293696,3.51357013301345,1571.77991534128,2.1478271595262
01005,AL,Barbour,5722.3056022933,20.8409717095578,3135.67608617583,11.4203157161228,940.419326548446,3.42506219378827,770.214550126597,2.80516644253413,406.142372194327,4.13586937061433
01007,AL,Bibb,1044.86732736101,4.55975268322503,491.449066238583,2.14466099165867,249.204752698424,1.08751801308498,150.553323396136,0.657007739018702,275.06087499396,3.45858009548548
01009,AL,Blount,1548.17555923387,2.70084009496158,609.02770839259,1.06246765359302,384.911607351067,0.671490191115221,195.049051213748,0.340269096008073,705.466782736982,3.2693798439938
01011,AL,Bullock,4089.9835478141,37.474652261445,2199.35982793515,20.151730144174,607.097868215287,5.5625606396856,554.388020740519,5.07960436815575,272.844258279601,7.28556096874769
01013,AL,Butler,1307.81970553017,6.24347021306236,593.225138622194,2.83202911453761,264.826077122668,1.26426732764915,254.954428314888,1.21714053714082,395.03167176685,4.65235745809505
01015,AL,Calhoun,30901.1505851428,26.0610857412735,11909.1628579287,10.0438238858489,6959.88710640568,5.86975601862639,4974.95713302801,4.19572675929225,1252.15018593941,2.64551812963894
01017,AL,Chambers,6748.21322261533,19.722967185782,3018.28474660405,8.82152490604719,1531.67667699948,4.47662334356124,1170.80546726137,3.42190696262275,616.696813443102,4.42615957398336
01019,AL,Cherokee,79.410234562587,0.305553251616403,34.4838623480173,0.132686376343904,17.3260469394154,0.0666668472792927,9.22233963641338,0.0354855501805124,378.737459294195,3.5642523931319
01021,AL,Chilton,1456.67789105128,3.33771255654121,736.957576654768,1.68860430459585,333.491807807717,0.764135847232585,241.694569402323,0.55379916459071,499.805098437034,3.01851128419515
01023,AL,Choctaw,2612.25386849156,18.848790450188,1611.53400261431,11.6280684220673,534.243818094832,3.85485112991437,438.877645846124,3.16673386136174,380.70327475254,6.48999786485748
01025,AL,Clarke,5060.66098327353,19.5899081921323,2901.6949963233,11.2325126633504,1360.62166611869,5.2669905396922,729.134505776814,2.8224925706531,752.006350178001,7.27489939226082
01027,AL,Clay,742.771697930452,5.33140753610717,268.741082133232,1.92894833572518,164.052881014424,1.17752570352012,134.718945384806,0.966974916629387,186.370932367682,3.28696529748999
01029,AL,Cleburne,146.863495852805,0.980921024931909,80.3899912656715,0.536935554806783,31.6711672727306,0.211535982318532,29.1777438408681,0.194882072140449,208.807570784528,3.54451826149258
01031,AL,Coffee,11395.3204024342,22.8143677473257,3708.84461474846,7.42541165762085,2727.2968681601,5.46027241963661,1493.50541519682,2.99012055577164,884.111884891343,4.45418854799407
01033,AL,Colbert,9519.55115267744,17.49017261828,2770.28491104755,5.08981574014763,2271.97638086306,4.17427864493103,1593.6470856718,2.92799126492209,532.491533469517,2.33825817182416
01035,AL,Conecuh,3725.78157048967,28.1658721688061,1955.50781210204,14.7830950415939,723.097824897506,5.46641839202832,779.040221255049,5.88932734544186,372.461298912982,6.62153420289745
01037,AL,Coosa,2837.242738337,24.5882896120721,752.859784419558,6.52448032255445,498.070980767431,4.31641373401014,565.564220348546,4.90132784772117,169.149667069661,3.5283618495966
01039,AL,Covington,3334.14094787191,8.82865337712672,1150.60643395162,3.04675343294483,681.510967800547,1.80461000344379,657.153310251698,1.74011203561948,663.043458866274,4.26916141179753
01041,AL,Crenshaw,5383.88640028219,38.7162836206112,2202.06704650467,15.8353735546143,1297.00315952457,9.32693196839183,779.024073108413,5.60207157420115,372.725365480835,6.59457476080741
01043,AL,Cullman,6295.38775878081,7.82949998604683,2535.50213869903,3.15337429880734,1477.52574374922,1.83758145380844,1170.91596614792,1.45625446626859,985.320115648622,3.09226749826959
01045,AL,Dale,13846.9598442195,27.5555906235089,5167.72367812397,10.2838225669618,3824.17024199554,7.61013759327284,1375.39964462738,2.73705925181067,538.941615227449,2.68597864553924
01047,AL,Dallas,7785.59720748858,17.7672232028493,5067.10573120623,11.5634544299549,1959.97475617916,4.4727858424901,1274.10711580569,2.90759268782677,1066.85564723155,6.252084196153
01049,AL,DeKalb,2679.85266237218,3.76865468839693,1603.03923080155,2.25434084405848,890.009064237456,1.25161240382716,258.253240700054,0.363179401622937,1109.96947562991,4.13519661586286
01051,AL,Elmore,15011.5049185081,18.9293026978905,5201.9407251624,6.55957621421938,3157.38934340262,3.98142484319966,1592.19183335543,2.00773215812193,878.867578925048,3.10542941565686
01053,AL,Escambia,5188.70619109852,13.5408183697344,2903.32077909718,7.57671332523598,1285.77005733834,3.35543740008439,803.14342705435,2.09594046570722,557.956012338345,3.94120231926499
01055,AL,Etowah,24779.1927450907,23.7280405487798,9001.22457859041,8.61938578817428,5286.96069468872,5.06268380224909,4824.13658341105,4.61949304166528,1164.0109641944,2.76908117850033
01057,AL,Fayette,437.511894058771,2.53762481328676,229.241144073087,1.32962788743743,109.786866584935,0.636777835305,66.6352747402768,0.386493096341725,248.012193069743,3.49312947985553
